# MillDynamics2 Simulation Export
# ExportedAt: 2026-08-15T15:54:47.806Z
# Parameter Metadata Block:
#   D (Mill Diameter): 1 m
#   margin (Domain Margin): 0.012 -
#   nLifters (Lifter Count): 8 -
#   hLifter (Lifter Height): 0.025 m
#   wLifter (Lifter Width): 0.02 m
#   alphaLifter (Lifter Face Angle): 0 deg
#   speedFraction (Speed Fraction): 40 %Nc
#   rotDirection (Rotation Direction): CCW -
#   gravity (Gravity): 9.81 m/s²
#   fillJ (Fill Fraction (J)): 0.3 -
#   thetaRepose (Dynamic Angle of Repose): 40 deg
#   porosity (Bed Porosity (ε)): 0.4 -
#   dp (Media Diameter (dp)): 0.002 m
#   kSlip (Charge Slip Factor): 0.85 -
#   rho (Slurry Density): 1800 kg/m³
#   rheologyMode (Rheology Mode): herschel-bulkley -
#   K (Consistency Index (K)): 0.5 Pa·sⁿ
#   n (Flow Index (n)): 0.7 -
#   tauY (Yield Stress (τy)): 5 Pa
#   m (Regularization (m)): 1000 s
#   muMin (Min Viscosity Clamp): 0.0001 Pa·s
#   muMax (Max Viscosity Clamp): 1000 Pa·s
#   A_ergun (Ergun Viscous Const (A)): 150 -
#   B_ergun (Forchheimer Inertial Const (B)): 1.75 -
#   C_gamma (Pore Shear Constant (Cγ)): 1 -
#   closureSource (Closure Source): manual -
#   N (Grid Resolution (N)): 128 -
#   nSub (Sub-steps per frame): 1 -
#   cfl (CFL Number): 2 -
#   maxDt (Max Time Step (Δt)): 0.002 s
#   fixedDt (Fixed Time Step (0=adaptive)): 0 s
#   nVisc (Viscous Iterations): 12 -
#   etaPenal (Penalization Time (η)): 0.0001 s
#   advectionScheme (Advection Scheme): maccormack -
#   N_rve (RVE Resolution): 256 -
#   rvePhi (RVE Solid Fraction (1-ε)): 0.6 -
#   rvePacking (RVE Packing): hexagonal -
#   rveSeed (RVE PRNG Seed): 12345 -
#   rveFx (RVE Body Force (fx)): 1 m/s²
# Derived Parameters:
#   Mill Radius R: 0.5000 m
#   Domain Size L: 1.0240 m
#   Cell Size dx: 8.000 mm
#   Critical Speed Nc: 42.34 rpm (0.706 rev/s)
#   Angular Velocity omega: 1.7736 rad/s
#   Tip Speed: 0.887 m/s
#   Permeability K_perm: 4.7407e-9 m^2
#   Pore Shear Rate: 4829.7 s^-1
#
time_s,dt_s,torque_Nm_m,power_W_m,mean_shear_bed_s1,mean_shear_free_s1,max_vel_m_s,yielded_fraction,kinetic_energy_J_m,max_div_s1
0.0020,2.0000e-3,29709.789,52691.892,0.00,0.00,0.9799,0.0000,285.3476,1.9194e-5
0.0220,2.0000e-3,1510.128,2678.292,0.71,4.70,0.9177,0.9995,380.8741,3.0596e-6
0.0420,2.0000e-3,1411.234,2502.898,0.70,4.62,0.9181,0.9989,384.3620,3.1002e-6
0.0620,2.0000e-3,1377.120,2442.395,0.70,4.54,0.9180,0.9989,386.4799,3.1043e-6
0.0820,2.0000e-3,1359.629,2411.374,0.70,4.48,0.9178,0.9993,388.1224,3.0144e-6
0.1020,2.0000e-3,1356.065,2405.054,0.71,4.41,0.9248,0.9990,389.5108,3.0509e-6
0.1220,2.0000e-3,1360.734,2413.334,0.71,4.34,0.9268,0.9994,390.7809,2.8426e-6
0.1420,2.0000e-3,1368.324,2426.796,0.71,4.28,0.9337,0.9994,391.9415,2.9140e-6
0.1620,2.0000e-3,1372.247,2433.754,0.71,4.22,0.9375,0.9995,393.0077,2.7149e-6
0.1820,2.0000e-3,1370.560,2430.761,0.71,4.17,0.9390,0.9996,393.9970,2.7281e-6
0.2020,2.0000e-3,1360.014,2412.056,0.71,4.12,0.9268,0.9997,394.9356,2.6418e-6
0.2220,2.0000e-3,1348.340,2391.353,0.71,4.07,0.9252,0.9998,395.8273,2.4476e-6
0.2420,2.0000e-3,1336.625,2370.576,0.71,4.03,0.9174,0.9998,396.7030,2.6801e-6
0.2620,2.0000e-3,1326.438,2352.509,0.70,3.99,0.9168,0.9997,397.5818,2.7231e-6
0.2820,2.0000e-3,1318.329,2338.126,0.70,3.94,0.9170,0.9997,398.4479,2.7764e-6
0.3020,2.0000e-3,1314.383,2331.128,0.70,3.89,0.9173,0.9994,399.2829,2.9225e-6
0.3220,2.0000e-3,1310.966,2325.068,0.70,3.84,0.9175,0.9992,400.0896,2.8384e-6
0.3420,2.0000e-3,1310.005,2323.364,0.70,3.79,0.9177,0.9993,400.8633,3.0616e-6
0.3620,2.0000e-3,1309.443,2322.367,0.70,3.73,0.9179,0.9991,401.6115,2.9664e-6
0.3820,2.0000e-3,1308.352,2320.431,0.70,3.68,0.9181,0.9988,402.3393,3.1182e-6
0.4020,2.0000e-3,1309.567,2322.587,0.70,3.63,0.9182,0.9979,403.0461,3.0555e-6
0.4220,2.0000e-3,1307.711,2319.296,0.70,3.58,0.9180,0.9978,403.7313,3.0674e-6
0.4420,2.0000e-3,1307.584,2319.070,0.70,3.53,0.9177,0.9984,404.3976,2.9753e-6
